mosaic_id;ra_dates;dec_dates;date;flux_dates
P140+60;140.594;59.573;2019-04-27 01:08:06;1.007
P141+29;141.743;29.465;2020-02-04 07:56:05;0.879
P141+34;141.707;34.484;2019-12-04 03:49:58;0.896
P141+37;141.867;36.995;2018-10-18 20:35:19;0.992
P141+45;141.704;44.523;2018-10-24 00:17:54;1.348
P141+47;141.417;47.031;2018-09-05 07:37:02;1.081
P141+57;141.224;57.067;2019-02-17 18:14:28;0.941
P141+62;141.253;62.085;2019-10-26 22:33:19;0.904
P142+32;142.914;31.981;2020-01-12 21:13:40;1.056
P142+42;142.902;42.02;2018-10-15 07:34:10;1.042
P142+50;142.914;49.549;2019-03-04 00:10:44;1.246
P142+55;142.268;54.564;2018-09-04 21:04:30;0.994
P143+52;143.027;52.059;2019-02-17 17:50:21;0.949
P144+22;144.131;21.948;2018-10-20 11:46:50;1.153
P144+29;144.72;29.481;2020-02-10 04:46:09;1.109
P144+35;144.848;34.502;2019-12-06 19:30:27;1.085
P144+40;144.259;39.518;2019-03-10 04:34:19;0.921
P144+65;144.328;64.611;2019-11-07 16:07:41;0.96
P144+67;144.717;67.121;2019-11-18 11:08:07;1.009
P145+32;145.966;31.998;2019-12-01 13:19:06;0.968
P145+37;145.109;37.013;2019-03-09 11:56:43;0.904
P145+45;145.336;44.544;2018-09-04 15:56:51;0.998
P145+47;145.216;47.052;2018-09-05 09:51:55;1.001
P145+57;145.989;57.094;2019-01-15 19:27:40;0.986
P145+60;145.71;59.601;2019-03-22 22:07:37;0.984
P146+42;146.39;42.039;2018-09-15 05:16:26;1.004
P146+50;146.905;49.571;2018-10-31 01:32:28;1.034
P146+55;146.736;54.589;2018-09-04 07:35:36;1.086
P146+62;146.786;62.116;2019-10-28 03:57:44;0.918
P147+29;147.691;29.497;2018-10-14 23:23:54;0.996
P147+35;147.99;34.519;2019-11-30 02:22:52;1.12
P147+40;147.616;39.536;2018-10-19 09:38:13;0.958
P147+52;147.239;52.082;2018-10-25 14:04:51;1.036
P148+37;148.352;37.031;2019-03-17 11:13:53;0.851
P148+45;148.969;44.563;2018-10-18 13:45:35;0.965
P149+32;149.019;32.015;2020-01-25 23:22:21;1.104
P149+42;149.874;42.059;2018-10-18 12:53:22;1.08
P149+47;149.017;47.073;2018-09-05 05:20:10;0.96
P149+70;149.752;69.656;2019-08-31 15:55:04;1.03
P14Hetdex04;174.68;49.748;2018-07-23 08:40:03;0.983
P150+30;150.666;29.514;2020-01-23 00:01:37;1.143
P150+40;150.973;39.555;2018-10-15 01:38:43;1.045
P150+50;150.899;49.593;2018-11-14 22:54:37;1
P150+57;150.758;57.12;2018-08-25 04:31:46;0.97
P150+60;150.831;59.629;2018-08-25 03:11:41;1.011
P150+65;150.374;64.644;2019-11-09 23:05:28;0.958
P150+82;150.244;82.167;2018-10-23 02:48:10;1.291
P151+35;151.132;34.536;2018-10-20 13:38:46;0.632
P151+37;151.595;37.048;2019-03-18 01:17:10;0.857
P151+52;151.454;52.105;2019-05-31 03:09:26;0.937
P151+55;151.206;54.613;2018-09-01 22:32:57;1.061
P151+67;151.386;67.157;2020-02-20 22:02:34;0.885
P152+22;152.503;21.994;2019-08-31 11:04:03;0.984
P152+32;152.072;32.031;2020-02-10 00:43:38;0.817
P152+45;152.604;44.583;2018-08-31 19:15:23;1.049
P152+47;152.819;47.094;2019-02-11 18:33:33;0.974
P152+62;152.327;62.146;2018-10-15 17:32:41;0.963
P153+30;153.641;29.53;2020-02-05 22:16:10;1.013
P153+42;153.362;42.078;2018-09-01 05:38:15;1.075
P154+35;154.275;34.553;2019-12-04 03:02:32;0.97
P154+37;154.839;37.066;2019-03-19 20:21:20;1.049
